City_Location,startup_count
Bangalore,700
Mumbai,567
"New Delhi",421
Gurgaon,287
nan,171
Bengaluru,141
Pune,105
Hyderabad,99
Chennai,97
Noida,92
Gurugram,50
Ahmedabad,38
Delhi,34
Jaipur,30
Kolkata,21
Indore,13
Chandigarh,11
Goa,10
Vadodara,10
Singapore,8
,6
Coimbatore,5
Kanpur,4
"Pune / US",4
\\xc2\\xa0Gurgaon,4
Faridabad,3
Bhopal,3
Nagpur,3
N/A,3
"\\xc2\\xa0New Delhi",3
"San Francisco",2
Kormangala,2
Mumbai/Bengaluru,2
India/US,2
Ahemadabad,2
Udaipur,2
Surat,2
Trivandrum,2
Gwalior,2
Udupi,2
Kochi,2
Agra,2
"Bangalore/ Bangkok",2
Siliguri,2
"Bangalore / SFO",2
"New Delhi / US",2
"San Jose,",1
Amritsar,1
Tulangan,1
Burnsville,1
"Menlo Park",1
"Palo Alto",1
"Santa Monica",1
Taramani,1
Andheri,1
Chembur,1
Nairobi,1
Haryana,1
"New York",1
Karnataka,1
"Bengaluru and Gurugram",1
India/Singapore,1
"New York, Bengaluru",1
California,1
India,1
Rourkela,1
Srinagar,1
Bhubneswar,1
"Delhi & Cambridge",1
Kolkatta,1
Ahemdabad,1
Bhubaneswar,1
"Uttar Pradesh",1
"Nw Delhi",1
Gaya,1
Missourie,1
Panaji,1
Karur,1
Hubli,1
Kerala,1
Kozhikode,1
US,1
USA,1
Lucknow,1
"SFO / Bangalore",1
London,1
"Seattle / Bangalore",1
Pune/Seattle,1
"Pune / Dubai",1
Varanasi,1
"Mumbai / UK",1
Jodhpur,1
Hyderabad/USA,1
Boston,1
"Bangalore / Palo Alto",1
"Mumbai / NY",1
USA/India,1
Goa/Hyderabad,1
"Noida / Singapore",1
Belgaum,1
"Chennai/ Singapore",1
"Pune / Singapore",1
"Bangalore / San Mateo",1
"New York/ India",1
US/India,1
"Gurgaon / SFO",1
"Bangalore / USA",1
"New Delhi/ Houston",1
"Mumbai / Global",1
"India / US",1
\\xc2\\xa0Noida,1
\\xc2\\xa0Bangalore,1
\\xc2\\xa0Mumbai,1
"New Delhi / California",1
"Dallas / Hyderabad",1
